ID,CAUCE,GOOGLE,OPENSTREETMAP,WIKIDATA,COTA_CORON,ALT_CIMIEN
,río gállego,https://www.google.com/search?kgmid=/g/11bc5qdzzb,,https://www.wikidata.org/wiki/q3377802,1088.0,90.0
,arroyo  salado de morón,,,,,
631.0,arroyo de valseco,,,,961.0,115.0
600.0,río salado,,,,469.689999999999,66.7999999999999
,río duero,,,https://www.wikidata.org/wiki/q110295767,,
,río pisuerga,https://www.google.com/search?kgmid=/g/122vx4f3,,https://www.wikidata.org/wiki/q8775378,,
,rio najerilla,https://www.google.com/search?kgmid=/g/120qkkhs,,https://www.wikidata.org/wiki/q8775359,932.0,80.0
,río tajuña,https://www.google.com/search?kgmid=/g/120j8g1j,https://www.openstreetmap.org/relation/8530695,https://www.wikidata.org/wiki/q5830511,,
,río albaida,https://www.google.com/search?kgmid=/g/121rjw4w,,https://www.wikidata.org/wiki/q5670515,159.0,43.0
124.0,río carrión,,,,,
,río  genil,,,https://www.wikidata.org/wiki/q1032728,,
388.0,río algodor,,,,689.879999999999,46.8999999999999
160.0,rivera de huesna,,,,,
,río majaceite,,,https://www.wikidata.org/wiki/q3374719,,
,riu mijares,,,https://www.wikidata.org/wiki/q3376336,603.0,107.0
,barranc de jau,,,https://www.wikidata.org/wiki/q3376336,603.0,18.0
,río alberche,,,https://www.wikidata.org/wiki/q5830564,583.0,78.0
,arroyo del molino de la presa,,,https://www.wikidata.org/wiki/q5830564,582.0,19.3999999999999
,río  guadajoz,,,,369.0,75.0
,río  arenoso,,,https://www.wikidata.org/wiki/q3376336,215.0,77.5
,río sil,,,,1149.75999999999,40.0
,río  guadalén,https://www.google.com/search?kgmid=/g/11x9znn9f,,https://www.wikidata.org/wiki/q94377393,,
570.0,río almanzora,,,,,
,río guaro,https://www.google.com/search?kgmid=/g/120jr2sh,,https://www.wikidata.org/wiki/q5830515,,
,río bornoba,https://www.google.com/search?kgmid=/g/1230_4n6,,https://www.wikidata.org/wiki/q5830397,,
,río duero,,,https://www.wikidata.org/wiki/q43560800,,
,río miño,https://www.google.com/search?kgmid=/g/155svy9k,,https://www.wikidata.org/wiki/q11986800,196.5,94.0
,rio bullaque,https://www.google.com/search?kgmid=/g/12tb837zb,,https://www.wikidata.org/wiki/q16561613,,
,arroyo aston-vacas,https://www.google.com/search?kgmid=/g/11h5_w0rnw,https://www.openstreetmap.org/relation/5895940,https://www.wikidata.org/wiki/q12221153,420.0,34.0
,arroyo aston-alberca,https://www.google.com/search?kgmid=/g/11h5_w0rnw,https://www.openstreetmap.org/relation/5895940,https://www.wikidata.org/wiki/q12221153,420.0,26.0
,río sotón,https://www.google.com/search?kgmid=/g/11h5_w0rnw,https://www.openstreetmap.org/relation/5895940,https://www.wikidata.org/wiki/q12221153,420.0,31.0
,río alberche,,https://www.openstreetmap.org/relation/3836574,https://www.wikidata.org/wiki/q5830442,,
,río guadalete,,,https://www.wikidata.org/wiki/q5369434,108.5,59.1
,rio segura,,,https://www.wikidata.org/wiki/q104635833,601.399999999999,82.0
,río ebro,https://www.google.com/search?kgmid=/g/121qmn_d,,https://www.wikidata.org/wiki/q2050030,76.0,60.0
513.0,río  viar,,,,,
,río guadalete,,,https://www.wikidata.org/wiki/q5830591,,
,la noguera pallaresa,,,,502.05,86.0
,río de las yeguas,,,https://www.wikidata.org/wiki/q5369460,,
,río barbate,https://www.google.com/search?kgmid=/g/11fx7tz183,,https://www.wikidata.org/wiki/q5369432,,
,río barbate,https://www.google.com/search?kgmid=/g/11fx7tz183,,https://www.wikidata.org/wiki/q5369432,,
,río barbate,https://www.google.com/search?kgmid=/g/11fx7tz183,,https://www.wikidata.org/wiki/q5369432,,
336.0,arroyo pizarroso,,,,,
,río  guadalmellato,,,https://www.wikidata.org/wiki/q5369443,,
149.0,zadorra ibaia,,,,548.0,37.0
