ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG,CODIGO,NOMBRE,EMBALSE,X,Y,DEMARC,PROVINCIA,CCAA,TIPO,INFORME
392.0,ebro,guiamets,10.0,0.0,9430002,guiamets,guiamets,41.098764213,0.751588232000074,ebro,tarragona,cataluña,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2768
319.0,cuencas internas del país vasco,ibai-eder,11.0,0.0,15200006,ibai-eder,ibai-eder,43.1287549570001,-2.22691844199994,cantabrico oriental,gipuzkoa/guipúzcoa,país vasco,presa de materiales sueltos de pantalla de hormigón,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=3121
,,,,,8160007,"toba, la",pantano de la toba,40.2100666220001,-1.92215366299996,jucar,cuenca,castilla - la mancha,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2282
,,,,,4210060,"machos, los","machos, los",37.314011421,-7.20394871099995,"tinto, odiel y piedras",huelva,andalucía,presa de materiales sueltos de pantalla de hormigón,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1264
,,,,,5180020,quentar,embalse de quéntar,37.2032970490001,-3.43802682299997,guadalquivir,granada,andalucía,presa de fábrica de bóveda,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1523
306.0,segura,alfonso xiii,22.0,0.0,7300041,alfonso xiii,alfonso xiii,38.2232084,-1.59952768299996,segura,murcia,región de murcia,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2077
,,,,,2400001,burgomillodo,burgomillodo reservoir,41.337311189,-3.88541240699993,duero,segovia,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=406
,,,,,3100074,salor,valdesalor reservoir,39.363901431,-6.30464727599997,tajo,cáceres,extremadura,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=608
,,,,,3370002,navamuño,navamuño reservoir,40.347880305,-5.77448415699996,tajo,salamanca,castilla y león,presa de materiales sueltos de pantalla de hormigón,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=851
,,,,,2370014,riolobos,riolobos,41.006227376,-5.30342870499993,duero,salamanca,castilla y león,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=374
,,,,,2370015,riolobos,riolobos,40.9949078490001,-5.28929176699995,duero,salamanca,castilla y león,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=375
,,,,,5110031,arcos,embalse de arcos,36.7513393790001,-5.79558309999993,guadalete y barbate,cádiz,andalucía,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1356
,,,,,5110030,arcos,embalse de arcos,36.7513900490001,-5.79150857699995,guadalete y barbate,cádiz,andalucía,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1355
,,,,,1240018,"campañana, la",campañana reservoir,42.498086748,-6.76967359799994,miño-sil,león,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=51
,,,,,1240016,"campañana, la",campañana reservoir,42.50033776,-6.75720479699993,miño-sil,león,castilla y león,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=49
,,,,,4060068,nogales,nogales reservoir,38.563891508,-6.73651674799993,guadiana,badajoz,extremadura,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=993
404.0,guadalquivir,encinarejo,15.0,1.0,5230051,encinarejo,encinarejo,38.164548686,-3.99287874699996,guadalquivir,jaén,andalucía,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1586
,,,,,7300025,"rodeos, los",embalse de los rodeos,38.0434511560001,-1.29443525699998,segura,murcia,región de murcia,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2061
329.0,guadiana,cancho del fresno,15.0,0.0,4100025,cancho del fresno,cancho del fresno,39.3931095610001,-5.39044150299998,guadiana,cáceres,extremadura,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1074
